,source,target,ShpName,post_type,shape_leng,st_label,betweenness_e,physicalid
5175,"(-73.94224145731903, 40.8378434363573)","(-73.94373631643596, 40.838469720598646)",CSCL_MN,ST,472.404600636,W 163 ST,910.0,176756.0
5176,"(-73.94224145731903, 40.8378434363573)","(-73.94204096173274, 40.83776058068131)",CSCL_MN,ST,63.1615880083,W 163 ST,3397.0,83010.0
5177,"(-73.94179132728878, 40.83846945851068)","(-73.94123367177728, 40.83922863434181)",CSCL_MN,,316.72616077,BROADWAY,643722.0,2914.0
5178,"(-73.94179132728878, 40.83846945851068)","(-73.94346483727395, 40.83917406262807)",CSCL_MN,ST,529.463829196,W 164 ST,2864.0,26930.0
5179,"(-73.94179132728878, 40.83846945851068)","(-73.94158174425553, 40.838377376278366)",CSCL_MN,ST,67.003468185,W 164 ST,5188.0,26929.0
5180,"(-73.94123367177728, 40.83922863434181)","(-73.94073540631929, 40.83990899938519)",CSCL_MN,,283.643926504,BROADWAY,642644.0,2915.0
5181,"(-73.94123367177728, 40.83922863434181)","(-73.94306494266053, 40.84019341748002)",CSCL_MN,ST,616.696099304,W 165 ST,181855.0,28025.0
5182,"(-73.94123367177728, 40.83922863434181)","(-73.94103926026338, 40.83912753519615)",CSCL_MN,ST,65.19911249,W 165 ST,182745.0,28026.0
5183,"(-73.94073540631929, 40.83990899938519)","(-73.94025470080821, 40.84056596705788)",CSCL_MN,,273.831821309,BROADWAY,639318.0,2916.0
5184,"(-73.94073540631929, 40.83990899938519)","(-73.94053688686635, 40.83982604263228)",CSCL_MN,ST,62.7008581016,W 166 ST,3554.0,27000.0
5185,"(-73.94025470080821, 40.84056596705788)","(-73.93985313584184, 40.841114753450306)",CSCL_MN,,228.742285439,BROADWAY,636872.0,2917.0
5186,"(-73.94025470080821, 40.84056596705788)","(-73.94007203647662, 40.84047892093293)",CSCL_MN,,59.6705670829,CONNECTOR,3054.0,88936.0
5187,"(-73.93985313584184, 40.841114753450306)","(-73.93933455208227, 40.841680459460314)",CSCL_MN,,261.841777569,BROADWAY,630014.0,2918.0
5188,"(-73.93985313584184, 40.841114753450306)","(-73.942278965801, 40.84215434246939)",CSCL_MN,ST,770.700375694,W 168 ST,8430.0,82702.0
5189,"(-73.93985313584184, 40.841114753450306)","(-73.93967351973194, 40.841038621794254)",CSCL_MN,ST,56.9155869412,W 168 ST,15190.0,82697.0
5190,"(-73.93933455208227, 40.841680459460314)","(-73.93925400217971, 40.84243657053498)",CSCL_MN,,276.379711264,BROADWAY,1025731.0,2919.0
5191,"(-73.93933455208227, 40.841680459460314)","(-73.93882323366145, 40.842240224038555)",CSCL_MN,AVE,254.054782814,ST NICHOLAS AVE,165349.0,19637.0
5192,"(-73.93933455208227, 40.841680459460314)","(-73.94201345131806, 40.842810497627156)",CSCL_MN,ST,847.891657106,W 169 ST,2843.0,82728.0
5193,"(-73.93933455208227, 40.841680459460314)","(-73.93935146394483, 40.8415077542379)",CSCL_MN,,68.5670970885,BROADWAY,568456.0,2920.0
5194,"(-73.93933455208227, 40.841680459460314)","(-73.93793060260374, 40.841088885275084)",CSCL_MN,ST,444.249473907,W 169 ST,1245.0,183605.0
5195,"(-73.93925400217971, 40.84243657053498)","(-73.93917782242742, 40.843222813565035)",CSCL_MN,,287.232278515,BROADWAY,1016701.0,3014.0
5196,"(-73.93925400217971, 40.84243657053498)","(-73.94163350698119, 40.84343666146265)",CSCL_MN,ST,752.479591077,W 170 ST,5642.0,97556.0
5197,"(-73.93925400217971, 40.84243657053498)","(-73.93902707461972, 40.842331885018034)",CSCL_MN,ST,73.4649080729,W 170 ST,2392.0,97555.0
5198,"(-73.93935146394483, 40.8415077542379)","(-73.93967351973194, 40.841038621794254)",CSCL_MN,,192.756885067,BROADWAY,35050.0,2921.0
5199,"(-73.93935146394483, 40.8415077542379)","(-73.93947100378638, 40.84095427453957)",CSCL_MN,AVE,204.347986553,ST NICHOLAS AVE,538926.0,19636.0
5200,"(-73.93967351973194, 40.841038621794254)","(-73.94007203647662, 40.84047892093293)",CSCL_MN,,231.823915112,BROADWAY,34260.0,2922.0
5201,"(-73.93967351973194, 40.841038621794254)","(-73.93947100378638, 40.84095427453957)",CSCL_MN,ST,63.9086080371,W 168 ST,14904.0,82698.0
5202,"(-73.94007203647662, 40.84047892093293)","(-73.94053688686635, 40.83982604263228)",CSCL_MN,,270.416493078,BROADWAY,42812.0,2923.0
5203,"(-73.94053688686635, 40.83982604263228)","(-73.94103926026338, 40.83912753519615)",CSCL_MN,,289.981582667,BROADWAY,45009.0,2924.0
5204,"(-73.94053688686635, 40.83982604263228)","(-73.93987540373004, 40.83956633068457)",CSCL_MN,ST,206.044348468,W 166 ST,17745.0,26999.0
5205,"(-73.94103926026338, 40.83912753519615)","(-73.94158174425553, 40.838377376278366)",CSCL_MN,,311.818929981,BROADWAY,48195.0,2925.0
5206,"(-73.94103926026338, 40.83912753519615)","(-73.93982667856882, 40.83849754530551)",CSCL_MN,ST,406.522923321,W 165 ST,185835.0,28027.0
5207,"(-73.94158174425553, 40.838377376278366)","(-73.94204096173274, 40.83776058068131)",CSCL_MN,,258.159261807,BROADWAY,54717.0,2926.0
5208,"(-73.94158174425553, 40.838377376278366)","(-73.9399939489149, 40.83771420274919)",CSCL_MN,ST,501.409218329,W 164 ST,11492.0,26928.0
5209,"(-73.94204096173274, 40.83776058068131)","(-73.94249852721451, 40.83713789323838)",CSCL_MN,,259.807470877,BROADWAY,57195.0,2927.0
5210,"(-73.94204096173274, 40.83776058068131)","(-73.94010227609465, 40.83694508452738)",CSCL_MN,ST,613.236753353,W 163 ST,5443.0,83011.0
5211,"(-73.94249852721451, 40.83713789323838)","(-73.94294919706168, 40.8365133180421)",CSCL_MN,,259.486438015,BROADWAY,60269.0,2928.0
5212,"(-73.94249852721451, 40.83713789323838)","(-73.93994981354732, 40.836077487229055)",CSCL_MN,ST,804.149378065,W 162 ST,5226.0,26949.0
5213,"(-73.94294919706168, 40.8365133180421)","(-73.94341184343135, 40.835890188107605)",CSCL_MN,,260.637071935,BROADWAY,63839.0,2929.0
5214,"(-73.94294919706168, 40.8365133180421)","(-73.94021664723952, 40.835358374068605)",CSCL_MN,ST,865.33758788,W 161 ST,5574.0,83058.0
5215,"(-73.94341184343135, 40.835890188107605)","(-73.94386764895397, 40.83526690014469)",CSCL_MN,,259.763397704,BROADWAY,66597.0,2930.0
5216,"(-73.94341184343135, 40.835890188107605)","(-73.94066429364075, 40.83473136622166)",CSCL_MN,ST,869.658135411,W 160 ST,4850.0,72770.0
